TARGET;NAME_CONTRACT_TYPE;CODE_GENDER;FLAG_OWN_REALTY;CNT_CHILDREN;AMT_INCOME_TOTAL;AMT_CREDIT;NAME_INCOME_TYPE;NAME_EDUCATION_TYPE;NAME_FAMILY_STATUS;NAME_HOUSING_TYPE;ORGANIZATION_TYPE;REGION_RATING_CLIENT;OCCUPATION_TYPE;APARTMENTS_AVG;BASEMENTAREA_AVG;YEARS_BUILD_AVG;COMMONAREA_AVG;ENTRANCES_AVG;LANDAREA_AVG
0;Cash loans;F;Y;0;135000;592560;Working;Secondary / secondary special;Married;House / apartment;Other;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;2;112500;187659;Commercial associate;Secondary / secondary special;Married;House / apartment;Transport: type 2;1;Laborers;0.2876;0.2506;0.8708;0.0035;0.3103;0.0452
0;Cash loans;M;Y;0;247500;254700;Working;Secondary / secondary special;Single / not married;House / apartment;Transport: type 2;1;Laborers;0.1254;0.0291;0.6872;0;0.1724;0.0353
1;Cash loans;F;N;0;67500;544491;Pensioner;Secondary / secondary special;Married;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;M;N;1;135000;188460;Commercial associate;Secondary / secondary special;Married;Municipal apartment;Business Entity Type 3;3;Laborers;0.0619;0.0687;0.83;0;0.1034;0.0511
0;Revolving loans;M;Y;0;360000;180000;Working;Academic degree;Married;House / apartment;Government;1;Managers;0.0722;0.0832;0.728;0.0368;0.1379;0.0611
1;Cash loans;F;Y;0;135000;343800;Pensioner;Secondary / secondary special;Widow;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;180000;448056;Commercial associate;Higher education;Single / not married;House / apartment;Self-employed;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;405000;1125000;Working;Higher education;Single / not married;House / apartment;Government;2;Core staff;0.2134;0.1971;0.9932;0.5025;0.1034;0.0343
0;Cash loans;F;Y;0;405000;1288350;Working;Secondary / secondary special;Married;House / apartment;Government;2;Laborers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;238500;269550;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Self-employed;2;Drivers;0.133;0.1182;0.7212;0.0544;0.2759;0.1519
0;Cash loans;F;N;0;216000;1067940;Commercial associate;Secondary / secondary special;Married;House / apartment;Other;2;Security staff;0.0928;0.0927;0.7892;0.0447;0.2069;0.0858
0;Cash loans;F;Y;0;315000;1024740;Commercial associate;Higher education;Married;House / apartment;Self-employed;2;Core staff;0.0237;0.0027;0.932;0.0092;0.0345;0.022
0;Revolving loans;F;N;0;112500;135000;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Trade: type 3;2;Sales staff;0.1485;0.1086;0.7756;0.0681;0.1379;0.0938
0;Cash loans;M;Y;0;112500;270000;Working;Secondary / secondary special;Separated;With parents;Trade: type 7;2;Drivers;0.0309;0;0.5716;0.0082;0.0345;0.0208
0;Cash loans;M;Y;0;225000;254700;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Business Entity Type 3;1;Laborers;0.2227;NA;NA;NA;0.2069;NA
1;Revolving loans;F;Y;1;90000;180000;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Laborers;0.099;NA;NA;NA;0.2069;NA
0;Revolving loans;F;Y;0;90000;270000;Commercial associate;Higher education;Civil marriage;House / apartment;Restaurant;2;Core staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;99000;284400;Commercial associate;Higher education;Married;House / apartment;Transport: type 4;2;Accountants;0.1485;0.1125;0.7144;0.0227;0.1379;0.1168
0;Cash loans;F;N;1;108000;354469.5;State servant;Higher education;Married;House / apartment;Other;3;Core staff;NA;NA;NA;NA;NA;NA
0;Revolving loans;F;Y;0;76500;180000;Working;Secondary / secondary special;Civil marriage;With parents;Bank;3;Core staff;NA;NA;NA;NA;NA;NA
1;Cash loans;M;Y;1;135000;426384;State servant;Higher education;Separated;House / apartment;Security;2;Security staff;0.0825;0.0655;0.7076;0.0073;0.1379;0.0294
0;Cash loans;F;Y;0;337500;1120752;State servant;Higher education;Married;House / apartment;Other;2;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;171000;1007352;Working;Secondary / secondary special;Separated;House / apartment;Self-employed;2;Sales staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;54000;104256;State servant;Secondary / secondary special;Single / not married;House / apartment;Medicine;2;Medicine staff;NA;NA;NA;NA;NA;NA
0;Cash loans;F;N;0;202500;339948;Working;Higher education;Civil marriage;House / apartment;University;2;Core staff;0.0691;0.0748;0.6804;0.0317;0.1379;0
1;Cash loans;M;N;0;157500;550467;Working;Secondary / secondary special;Single / not married;House / apartment;Business Entity Type 3;2;Laborers;0.0124;0;0.61240000000000006;0;0.069;0.0631
0;Cash loans;M;Y;2;247500;781920;Commercial associate;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;NA;0.0722;NA;0.83;NA;0.2759;NA
0;Cash loans;M;Y;0;270000;270000;Commercial associate;Higher education;Married;House / apartment;Business Entity Type 3;1;Drivers;0.032;0.0262;0.422;NA;0.1379;0.035
0;Cash loans;M;Y;2;157500;1935000;Working;Higher education;Married;House / apartment;Industry: type 9;2;High skill tech staff;0.0722;0.0682;NA;NA;0.1379;0.0164
0;Cash loans;F;N;2;157500;450000;Working;Secondary / secondary special;Married;House / apartment;Industry: type 9;2;Cleaning staff;0.2474;0.2982;0.8572;0.0629;0.5517;0.1972
0;Cash loans;F;N;0;103500;312768;Pensioner;Secondary / secondary special;Single / not married;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;2;202500;549882;Working;Secondary / secondary special;Married;House / apartment;Construction;2;NA;0.1227;0.1296;0.6804;0.0156;0.2759;0.2873
0;Cash loans;F;N;0;180000;225000;Pensioner;Secondary / secondary special;Single / not married;House / apartment;XNA;2;NA;0.0124;0;0.7076;0.0018;0.1034;0.0054
0;Cash loans;F;N;1;112500;152820;State servant;Higher education;Married;House / apartment;Government;3;Accountants;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;76500;215640;Pensioner;Higher education;Married;House / apartment;XNA;2;NA;NA;NA;NA;NA;NA;NA
0;Cash loans;F;Y;0;180000;1071909;Commercial associate;Secondary / secondary special;Single / not married;House / apartment;Self-employed;3;Managers;NA;NA;NA;NA;NA;NA
0;Cash loans;M;Y;0;382500;1024740;Working;Secondary / secondary special;Married;House / apartment;Other;2;Laborers;0.0804;NA;0.7892;0;0.2069;NA
0;Cash loans;F;N;0;135000;454500;Working;Higher education;Married;Co-op apartment;Medicine;2;Accountants;0.1031;0.085;0.7688;0.0208;0.1034;0.1064
0;Cash loans;F;N;1;135000;675000;Working;Higher education;Married;House / apartment;Emergency;2;Core staff;0.0918;0.0982;0.7892;0.0136;0.2069;0.0503
0;Cash loans;M;Y;3;225000;922500;State servant;Higher education;Married;House / apartment;Police;2;Managers;0.1381;0.044;NA;NA;0.0345;0.0488
0;Cash loans;F;N;2;90000;573408;Working;Secondary / secondary special;Married;House / apartment;Business Entity Type 3;2;Managers;NA;NA;NA;NA;NA;NA
